,respondent_id,seasonal_taken,xyz_taken
350,350,1.0,0.0
351,351,1.0,0.0
353,353,1.0,1.0
354,354,1.0,1.0
355,355,0.0,0.0
356,356,0.0,0.0
357,357,1.0,1.0
358,358,0.0,0.0
359,359,1.0,1.0
360,360,0.0,0.0
361,361,0.0,0.0
362,362,0.0,0.0
363,363,0.0,0.0
364,364,1.0,1.0
365,365,0.0,0.0
366,366,0.0,0.0
367,367,0.0,0.0
368,368,0.0,0.0
369,369,0.0,0.0
370,370,0.0,0.0
371,371,1.0,1.0
372,372,1.0,0.0
374,374,0.0,0.0
375,375,1.0,1.0
376,376,1.0,1.0
377,377,0.0,0.0
378,378,1.0,1.0
380,380,0.0,0.0
382,382,0.0,0.0
384,384,1.0,0.0
385,385,1.0,0.0
387,387,1.0,1.0
388,388,0.0,0.0
389,389,0.0,1.0
390,390,0.0,0.0
391,391,1.0,1.0
393,393,0.0,0.0
394,394,0.0,0.0
395,395,0.0,0.0
396,396,1.0,0.0
397,397,1.0,1.0
398,398,0.0,0.0
399,399,0.0,0.0
400,400,0.0,0.0
401,401,0.0,0.0
402,402,0.0,0.0
403,403,1.0,1.0
404,404,0.0,0.0
407,407,1.0,1.0
408,408,0.0,0.0
412,412,1.0,0.0
413,413,1.0,1.0
414,414,1.0,1.0
415,415,0.0,0.0
418,418,1.0,0.0
419,419,1.0,0.0
420,420,0.0,1.0
421,421,0.0,0.0
423,423,0.0,0.0
424,424,0.0,0.0
425,425,1.0,0.0
426,426,1.0,0.0
427,427,0.0,1.0
428,428,0.0,0.0
429,429,0.0,0.0
430,430,0.0,0.0
431,431,1.0,0.0
432,432,0.0,0.0
434,434,0.0,0.0
435,435,0.0,0.0
436,436,0.0,0.0
437,437,0.0,0.0
438,438,0.0,0.0
440,440,0.0,0.0
441,441,0.0,0.0
442,442,1.0,0.0
443,443,0.0,0.0
444,444,0.0,0.0
445,445,1.0,1.0
446,446,0.0,0.0
447,447,0.0,0.0
448,448,0.0,0.0
449,449,1.0,1.0
450,450,0.0,0.0
451,451,0.0,0.0
452,452,0.0,0.0
454,454,0.0,0.0
455,455,0.0,0.0
456,456,0.0,0.0
457,457,0.0,0.0
458,458,1.0,0.0
459,459,1.0,0.0
460,460,0.0,0.0
461,461,1.0,0.0
462,462,0.0,0.0
463,463,0.0,0.0
464,464,0.0,0.0
465,465,1.0,1.0
466,466,0.0,0.0
468,468,0.0,0.0
469,469,0.0,0.0
471,471,0.0,0.0
472,472,1.0,1.0
473,473,0.0,0.0
474,474,1.0,0.0
475,475,0.0,0.0
477,477,1.0,0.0
478,478,0.0,0.0
479,479,0.0,0.0
480,480,0.0,0.0
481,481,1.0,1.0
482,482,0.0,0.0
483,483,0.0,0.0
484,484,0.0,0.0
485,485,1.0,1.0
488,488,1.0,0.0
489,489,0.0,1.0
490,490,0.0,0.0
491,491,0.0,0.0
492,492,0.0,0.0
493,493,0.0,0.0
494,494,1.0,1.0
495,495,0.0,1.0
496,496,0.0,0.0
497,497,1.0,0.0
498,498,1.0,0.0
499,499,0.0,0.0
500,500,0.0,0.0
502,502,0.0,0.0
503,503,0.0,0.0
504,504,0.0,1.0
505,505,1.0,1.0
506,506,0.0,0.0
508,508,0.0,0.0
509,509,0.0,0.0
510,510,1.0,1.0
511,511,0.0,0.0
512,512,0.0,0.0
513,513,0.0,0.0
515,515,0.0,0.0
516,516,1.0,1.0
517,517,0.0,0.0
518,518,0.0,0.0
519,519,1.0,1.0
520,520,0.0,0.0
521,521,0.0,0.0
522,522,0.0,0.0
523,523,0.0,0.0
524,524,0.0,0.0
525,525,0.0,0.0
526,526,1.0,1.0
527,527,0.0,0.0
528,528,0.0,0.0
529,529,1.0,1.0
530,530,0.0,0.0
531,531,1.0,0.0
532,532,1.0,0.0
533,533,0.0,0.0
534,534,1.0,1.0
535,535,0.0,0.0
536,536,0.0,0.0
537,537,1.0,1.0
538,538,0.0,0.0
539,539,0.0,0.0
540,540,1.0,1.0
541,541,1.0,0.0
542,542,0.0,0.0
543,543,0.0,0.0
544,544,1.0,0.0
546,546,1.0,0.0
547,547,0.0,0.0
548,548,0.0,0.0
549,549,1.0,0.0
550,550,0.0,0.0
551,551,0.0,0.0
552,552,0.0,0.0
553,553,0.0,0.0
555,555,1.0,1.0
556,556,1.0,0.0
557,557,0.0,0.0
558,558,0.0,0.0
559,559,0.0,0.0
560,560,0.0,0.0
561,561,1.0,1.0
563,563,0.0,0.0
564,564,1.0,0.0
565,565,0.0,0.0
566,566,0.0,0.0
567,567,0.0,0.0
568,568,0.0,1.0
569,569,0.0,0.0
572,572,0.0,0.0
573,573,0.0,1.0
574,574,1.0,0.0
575,575,1.0,0.0
576,576,0.0,0.0
577,577,0.0,0.0
578,578,1.0,0.0
579,579,0.0,0.0
581,581,0.0,0.0
582,582,0.0,0.0
584,584,0.0,0.0
585,585,0.0,0.0
586,586,0.0,0.0
588,588,0.0,0.0
589,589,0.0,0.0
590,590,0.0,0.0
592,592,0.0,0.0
593,593,0.0,1.0
594,594,0.0,0.0
595,595,1.0,0.0
596,596,0.0,0.0
597,597,0.0,0.0
599,599,0.0,0.0
600,600,0.0,0.0
602,602,0.0,0.0
603,603,0.0,0.0
604,604,1.0,0.0
605,605,1.0,0.0
606,606,1.0,0.0
607,607,1.0,0.0
608,608,0.0,0.0
609,609,0.0,0.0
610,610,1.0,1.0
611,611,0.0,0.0
612,612,1.0,0.0
613,613,1.0,1.0
615,615,1.0,0.0
616,616,0.0,0.0
617,617,1.0,0.0
618,618,0.0,0.0
619,619,1.0,1.0
620,620,1.0,0.0
621,621,0.0,0.0
623,623,0.0,0.0
624,624,0.0,0.0
625,625,1.0,1.0
626,626,0.0,0.0
628,628,0.0,0.0
630,630,1.0,0.0
631,631,1.0,0.0
632,632,0.0,0.0
633,633,0.0,0.0
634,634,0.0,0.0
635,635,0.0,0.0
636,636,0.0,0.0
637,637,0.0,0.0
638,638,0.0,0.0
639,639,1.0,0.0
640,640,1.0,1.0
641,641,0.0,0.0
642,642,1.0,1.0
643,643,0.0,0.0
644,644,1.0,0.0
646,646,0.0,1.0
647,647,0.0,0.0
648,648,0.0,0.0
649,649,0.0,1.0
650,650,1.0,0.0
651,651,1.0,1.0
652,652,0.0,0.0
653,653,1.0,1.0
654,654,0.0,0.0
655,655,1.0,0.0
656,656,0.0,0.0
657,657,0.0,0.0
658,658,1.0,0.0
659,659,0.0,0.0
660,660,0.0,0.0
663,663,0.0,0.0
665,665,0.0,0.0
666,666,1.0,1.0
667,667,0.0,0.0
668,668,0.0,0.0
669,669,0.0,0.0
670,670,0.0,0.0
671,671,0.0,0.0
672,672,0.0,1.0
673,673,0.0,0.0
674,674,0.0,1.0
675,675,1.0,1.0
676,676,1.0,0.0
677,677,0.0,0.0
678,678,0.0,0.0
679,679,0.0,0.0
680,680,0.0,0.0
682,682,0.0,1.0
684,684,0.0,0.0
685,685,0.0,0.0
686,686,0.0,0.0
687,687,1.0,1.0
688,688,0.0,0.0
689,689,0.0,0.0
690,690,0.0,0.0
691,691,0.0,0.0
693,693,1.0,1.0
694,694,0.0,0.0
695,695,0.0,0.0
696,696,0.0,0.0
698,698,0.0,0.0
699,699,0.0,0.0
700,700,1.0,1.0
701,701,1.0,0.0
702,702,1.0,0.0
703,703,1.0,1.0
704,704,1.0,0.0
705,705,0.0,0.0
706,706,1.0,1.0
707,707,0.0,0.0
708,708,0.0,0.0
709,709,1.0,1.0
710,710,0.0,0.0
712,712,1.0,0.0
713,713,0.0,0.0
714,714,1.0,1.0
715,715,0.0,0.0
716,716,0.0,0.0
717,717,0.0,0.0
718,718,0.0,0.0
719,719,1.0,1.0
722,722,0.0,0.0
723,723,1.0,0.0
724,724,0.0,0.0
725,725,1.0,0.0
727,727,0.0,0.0
728,728,0.0,0.0
729,729,1.0,1.0
731,731,0.0,0.0
732,732,0.0,0.0
733,733,0.0,0.0
734,734,1.0,0.0
736,736,0.0,0.0
737,737,1.0,1.0
738,738,1.0,1.0
739,739,0.0,0.0
740,740,0.0,0.0
741,741,0.0,0.0
742,742,1.0,1.0
743,743,1.0,0.0
744,744,0.0,0.0
745,745,0.0,0.0
746,746,0.0,0.0
747,747,0.0,0.0
748,748,0.0,0.0
749,749,0.0,0.0
750,750,1.0,1.0
751,751,0.0,0.0
753,753,0.0,0.0
754,754,1.0,1.0
755,755,0.0,0.0
756,756,0.0,0.0
757,757,0.0,0.0
759,759,0.0,0.0
760,760,1.0,0.0
761,761,1.0,1.0
762,762,1.0,0.0
763,763,0.0,0.0
764,764,0.0,0.0
765,765,0.0,0.0
767,767,0.0,0.0
768,768,1.0,1.0
770,770,0.0,0.0
771,771,1.0,1.0
772,772,0.0,0.0
773,773,0.0,0.0
774,774,1.0,0.0
775,775,1.0,1.0
776,776,0.0,0.0
777,777,1.0,1.0
778,778,0.0,0.0
779,779,0.0,0.0
780,780,1.0,1.0
781,781,1.0,1.0
783,783,1.0,1.0
784,784,0.0,0.0
785,785,0.0,1.0
786,786,0.0,0.0
787,787,0.0,0.0
788,788,0.0,0.0
789,789,1.0,0.0
790,790,1.0,1.0
791,791,0.0,0.0
792,792,0.0,0.0
793,793,1.0,0.0
795,795,1.0,1.0
797,797,0.0,0.0
798,798,0.0,0.0
799,799,0.0,0.0
800,800,1.0,0.0
801,801,1.0,1.0
802,802,1.0,0.0
803,803,0.0,0.0
804,804,0.0,0.0
805,805,1.0,1.0
806,806,1.0,0.0
807,807,1.0,1.0
808,808,0.0,0.0
809,809,1.0,1.0
810,810,0.0,0.0
811,811,1.0,1.0
813,813,0.0,0.0
814,814,0.0,0.0
815,815,0.0,0.0
816,816,0.0,0.0
817,817,0.0,0.0
818,818,1.0,1.0
819,819,0.0,1.0
820,820,0.0,0.0
821,821,1.0,1.0
822,822,0.0,0.0
823,823,0.0,0.0
824,824,0.0,0.0
825,825,0.0,0.0
827,827,1.0,0.0
829,829,0.0,0.0
830,830,0.0,0.0
831,831,0.0,0.0
832,832,1.0,0.0
834,834,1.0,0.0
836,836,0.0,0.0
837,837,1.0,1.0
838,838,0.0,0.0
839,839,0.0,0.0
840,840,0.0,0.0
841,841,0.0,0.0
842,842,0.0,0.0
843,843,0.0,0.0
844,844,0.0,0.0
845,845,1.0,0.0
846,846,1.0,0.0
847,847,1.0,0.0
848,848,0.0,0.0
850,850,1.0,0.0
851,851,0.0,0.0
852,852,1.0,0.0
853,853,0.0,0.0
854,854,0.0,0.0
855,855,0.0,0.0
856,856,0.0,0.0
857,857,0.0,0.0
858,858,0.0,0.0
859,859,0.0,0.0
860,860,0.0,0.0
861,861,0.0,0.0
862,862,0.0,1.0
864,864,0.0,0.0
865,865,1.0,0.0
866,866,0.0,0.0
867,867,0.0,0.0
868,868,1.0,1.0
870,870,0.0,0.0
871,871,0.0,0.0
872,872,1.0,1.0
873,873,0.0,0.0
874,874,0.0,0.0
875,875,0.0,0.0
876,876,0.0,0.0
877,877,1.0,0.0
878,878,1.0,0.0
879,879,0.0,0.0
880,880,0.0,0.0
881,881,1.0,1.0
882,882,1.0,1.0
883,883,0.0,0.0
886,886,0.0,0.0
887,887,1.0,1.0
888,888,0.0,0.0
891,891,1.0,0.0
892,892,1.0,1.0
893,893,1.0,0.0
894,894,0.0,0.0
895,895,0.0,0.0
896,896,0.0,0.0
897,897,1.0,1.0
898,898,0.0,0.0
902,902,0.0,0.0
903,903,0.0,0.0
906,906,0.0,0.0
907,907,0.0,0.0
908,908,0.0,0.0
909,909,0.0,0.0
910,910,1.0,0.0
911,911,1.0,1.0
912,912,0.0,0.0
913,913,0.0,0.0
914,914,1.0,0.0
915,915,0.0,0.0
916,916,1.0,1.0
917,917,1.0,1.0
918,918,0.0,1.0
919,919,0.0,0.0
920,920,1.0,0.0
921,921,0.0,0.0
922,922,0.0,0.0
923,923,0.0,0.0
924,924,1.0,1.0
925,925,0.0,0.0
926,926,0.0,0.0
927,927,1.0,1.0
928,928,0.0,0.0
929,929,0.0,0.0
930,930,0.0,0.0
931,931,0.0,0.0
932,932,0.0,0.0
933,933,0.0,0.0
934,934,0.0,0.0
936,936,0.0,1.0
937,937,1.0,1.0
938,938,1.0,1.0
939,939,0.0,0.0
941,941,0.0,0.0
942,942,0.0,0.0
943,943,0.0,0.0
944,944,0.0,0.0
945,945,1.0,1.0
946,946,0.0,0.0
948,948,0.0,0.0
949,949,0.0,0.0
950,950,0.0,0.0
951,951,1.0,0.0
952,952,1.0,0.0
953,953,0.0,0.0
954,954,1.0,1.0
955,955,0.0,0.0
956,956,1.0,1.0
957,957,0.0,0.0
959,959,1.0,0.0
960,960,0.0,0.0
961,961,1.0,1.0
962,962,0.0,0.0
964,964,0.0,0.0
965,965,0.0,0.0
966,966,0.0,0.0
967,967,0.0,0.0
969,969,0.0,0.0
970,970,0.0,0.0
971,971,1.0,1.0
972,972,0.0,0.0
973,973,1.0,0.0
974,974,1.0,1.0
975,975,0.0,0.0
976,976,1.0,0.0
978,978,0.0,0.0
979,979,0.0,1.0
981,981,1.0,0.0
983,983,0.0,0.0
984,984,0.0,0.0
985,985,1.0,0.0
986,986,0.0,0.0
987,987,1.0,1.0
988,988,0.0,0.0
990,990,1.0,1.0
991,991,0.0,0.0
992,992,0.0,0.0
993,993,0.0,0.0
994,994,1.0,0.0
995,995,0.0,0.0
996,996,1.0,0.0
997,997,0.0,0.0
998,998,0.0,0.0
999,999,0.0,0.0
1000,1000,0.0,0.0
1001,1001,0.0,0.0
1002,1002,0.0,0.0
1003,1003,0.0,0.0
1004,1004,1.0,0.0
1006,1006,0.0,0.0
1007,1007,0.0,0.0
1008,1008,0.0,0.0
1009,1009,0.0,0.0
1010,1010,0.0,0.0
1011,1011,0.0,0.0
1012,1012,1.0,0.0
1013,1013,1.0,1.0
1014,1014,1.0,1.0
1015,1015,0.0,0.0
1018,1018,0.0,0.0
1019,1019,0.0,0.0
1020,1020,0.0,0.0
1021,1021,0.0,0.0
1022,1022,0.0,0.0
1023,1023,0.0,0.0
1025,1025,1.0,1.0
1027,1027,0.0,0.0
1028,1028,0.0,0.0
1029,1029,0.0,0.0
1030,1030,0.0,0.0
1031,1031,0.0,0.0
1032,1032,1.0,0.0
1033,1033,0.0,0.0
1034,1034,1.0,0.0
1035,1035,0.0,0.0
1036,1036,0.0,0.0
1038,1038,0.0,0.0
1039,1039,0.0,0.0
1040,1040,0.0,0.0
1041,1041,0.0,1.0
1042,1042,0.0,0.0
1044,1044,1.0,1.0
1045,1045,1.0,1.0
1047,1047,0.0,0.0
1048,1048,0.0,0.0
1050,1050,1.0,1.0
1051,1051,0.0,0.0
1052,1052,1.0,1.0
1053,1053,0.0,0.0
1054,1054,0.0,0.0
1055,1055,0.0,0.0
1057,1057,1.0,0.0
1058,1058,0.0,0.0
1059,1059,0.0,0.0
1060,1060,0.0,0.0
1061,1061,0.0,0.0
1062,1062,1.0,1.0
1064,1064,1.0,1.0
1065,1065,1.0,0.0
1066,1066,0.0,0.0
1068,1068,0.0,0.0
1069,1069,1.0,1.0
1070,1070,0.0,0.0
1072,1072,0.0,0.0
1073,1073,1.0,0.0
1074,1074,0.0,0.0
1076,1076,0.0,0.0
1077,1077,0.0,0.0
1078,1078,1.0,0.0
1079,1079,0.0,0.0
1080,1080,0.0,0.0
1081,1081,0.0,0.0
1082,1082,0.0,0.0
1083,1083,0.0,0.0
1084,1084,0.0,0.0
1085,1085,1.0,0.0
1086,1086,0.0,0.0
1087,1087,1.0,0.0
1088,1088,0.0,0.0
1089,1089,0.0,0.0
1090,1090,0.0,0.0
1091,1091,0.0,0.0
1092,1092,0.0,0.0
1093,1093,0.0,0.0
1094,1094,0.0,0.0
1095,1095,0.0,0.0
1096,1096,0.0,1.0
1097,1097,0.0,1.0
1098,1098,0.0,0.0
1099,1099,1.0,1.0
1100,1100,1.0,1.0
1101,1101,0.0,0.0
1102,1102,0.0,0.0
1103,1103,0.0,0.0
1105,1105,0.0,1.0
1106,1106,0.0,1.0
1108,1108,1.0,0.0
1109,1109,0.0,0.0
1110,1110,0.0,0.0
1111,1111,0.0,0.0
1112,1112,0.0,0.0
1113,1113,0.0,0.0
1114,1114,0.0,0.0
1115,1115,0.0,0.0
1117,1117,1.0,0.0
1118,1118,0.0,0.0
1119,1119,1.0,0.0
1121,1121,1.0,1.0
1123,1123,0.0,0.0
1124,1124,1.0,1.0
1125,1125,0.0,0.0
1126,1126,0.0,0.0
1128,1128,0.0,0.0
1129,1129,1.0,0.0
1130,1130,0.0,0.0
1131,1131,0.0,0.0
1132,1132,1.0,1.0
1133,1133,0.0,0.0
1134,1134,0.0,0.0
1135,1135,0.0,0.0
1136,1136,0.0,0.0
1137,1137,1.0,0.0
1140,1140,0.0,0.0
1141,1141,0.0,0.0
1142,1142,0.0,0.0
1144,1144,0.0,0.0
1145,1145,0.0,0.0
1146,1146,0.0,0.0
1148,1148,0.0,0.0
1149,1149,0.0,0.0
1150,1150,0.0,0.0
1151,1151,0.0,0.0
1152,1152,0.0,0.0
1154,1154,1.0,1.0
1155,1155,1.0,1.0
1157,1157,0.0,0.0
1158,1158,1.0,0.0
1159,1159,1.0,1.0
1160,1160,1.0,1.0
1161,1161,0.0,0.0
1162,1162,1.0,1.0
1163,1163,0.0,0.0
1164,1164,1.0,0.0
1166,1166,1.0,1.0
1167,1167,0.0,0.0
1168,1168,0.0,0.0
1169,1169,0.0,0.0
1170,1170,1.0,0.0
1171,1171,1.0,1.0
1173,1173,0.0,0.0
1174,1174,1.0,1.0
1175,1175,1.0,1.0
1176,1176,1.0,1.0
1177,1177,0.0,0.0
1178,1178,0.0,0.0
1179,1179,0.0,0.0
1180,1180,0.0,0.0
1181,1181,0.0,0.0
1182,1182,1.0,1.0
1183,1183,0.0,0.0
1184,1184,1.0,1.0
1188,1188,0.0,0.0
1189,1189,0.0,0.0
1190,1190,0.0,0.0
1191,1191,1.0,1.0
1192,1192,1.0,1.0
1193,1193,0.0,0.0
1194,1194,1.0,1.0
1195,1195,0.0,0.0
1196,1196,0.0,0.0
1198,1198,0.0,0.0
1199,1199,1.0,1.0
1201,1201,1.0,0.0
1203,1203,1.0,1.0
1204,1204,0.0,0.0
1205,1205,0.0,0.0
1206,1206,1.0,0.0
1207,1207,0.0,0.0
1208,1208,0.0,0.0
1209,1209,0.0,1.0
1211,1211,0.0,0.0
1212,1212,1.0,1.0
1213,1213,0.0,0.0
1214,1214,0.0,0.0
1215,1215,1.0,1.0
1218,1218,0.0,0.0
1219,1219,0.0,0.0
1220,1220,0.0,0.0
1222,1222,0.0,0.0
1223,1223,0.0,0.0
1224,1224,0.0,0.0
1225,1225,0.0,0.0
1226,1226,1.0,0.0
1227,1227,0.0,0.0
1228,1228,1.0,1.0
1229,1229,1.0,0.0
1230,1230,0.0,0.0
1234,1234,1.0,0.0
1235,1235,0.0,0.0
1236,1236,1.0,1.0
1237,1237,1.0,0.0
1238,1238,0.0,0.0
1239,1239,0.0,0.0
1240,1240,1.0,0.0
1242,1242,1.0,1.0
1244,1244,1.0,1.0
1245,1245,0.0,0.0
1246,1246,0.0,0.0
1247,1247,0.0,0.0
1248,1248,1.0,0.0
1249,1249,1.0,1.0
1250,1250,1.0,0.0
1251,1251,0.0,0.0
1252,1252,0.0,0.0
1253,1253,1.0,0.0
1254,1254,0.0,0.0
1255,1255,0.0,0.0
1256,1256,0.0,0.0
1257,1257,0.0,1.0
1258,1258,1.0,0.0
1259,1259,0.0,0.0
1260,1260,0.0,0.0
1261,1261,0.0,0.0
1262,1262,1.0,0.0
1264,1264,1.0,0.0
1266,1266,0.0,0.0
1268,1268,0.0,0.0
1269,1269,0.0,0.0
1270,1270,0.0,0.0
1271,1271,0.0,0.0
1272,1272,0.0,1.0
1275,1275,0.0,0.0
1276,1276,0.0,0.0
1277,1277,0.0,0.0
1278,1278,1.0,1.0
1279,1279,1.0,1.0
1280,1280,0.0,0.0
1282,1282,0.0,0.0
1283,1283,1.0,0.0
1284,1284,1.0,1.0
1285,1285,0.0,0.0
1286,1286,1.0,1.0
1288,1288,0.0,0.0
1289,1289,0.0,0.0
1290,1290,1.0,0.0
1291,1291,0.0,0.0
1293,1293,0.0,0.0
1294,1294,0.0,0.0
1295,1295,0.0,0.0
1296,1296,0.0,0.0
1297,1297,0.0,0.0
1298,1298,1.0,1.0
1299,1299,0.0,0.0
1300,1300,0.0,0.0
1303,1303,0.0,0.0
